"","Commodity2","APMC","Year","maxfluctrel","maxfluct"
"163","pigeon pea tur","Kej",2015,23.5294117647059,1776
"164","coconut","Mumbai",2014,223.978919631094,1763
"165","ricepaddyhus","Mangaon(Bhadav)",2015,99.0825688073395,1763
"166","pigeon pea tur","Lasalgaon",2016,30.8245614035088,1757
"167","pigeon pea tur","Umarga",2015,23.9120879120879,1757
"168","wheathusked","Latur",2015,103.178340200118,1753
"169","ricepaddyhus","Sinner",2015,116.8,1752
"170","sesamum","Indapur",2016,35.2609308885755,1750
"171","pigeon pea tur","Sengaon",2015,22.6666666666667,1734
"172","ricepaddyhus","Umared",2015,86.5,1730
"173","pigeon pea tur","Hadgaon-Tamsa",2015,23.288409703504,1728
"174","pigeon pea tur","Aarni",2015,22.6110892646481,1725
"175","pigeon pea tur","Pathari",2015,26.4633394947628,1718
"176","pigeon pea tur","Nandgaon",2016,28.1660104986877,1717
"177","pigeon pea tur","Kej",2016,27.1317829457364,1715
"178","pigeon pea tur","Sinner",2015,52.8412600370599,1711
"179","coconut","Mumbai",2016,566.666666666667,1707
"180","pigeon pea tur","Baramati",2016,30.9394269133116,1706
"181","pigeon pea tur","Shegaon",2015,32.2092354857252,1702
"182","pigeon pea tur","Dudhani",2015,21.227621483376,1702
"183","pigeon pea tur","Kada",2016,33.3333333333333,1700
"184","pigeon pea tur","Sonpeth",2015,30.9090909090909,1700
"185","wheathusked","Pathari",2016,424.433249370277,1685
"186","pigeon pea tur","Risod",2016,24.2604429909321,1682
"187","sorgumjawar","Karmala",2014,104.738154613466,1680
"188","ricepaddyhus","Pune",2016,43.46362930365,1679
"189","pigeon pea tur","Ambejogai",2016,22.594536401561,1679
"190","coconut","Mumbai",2015,233,1678
"191","pigeon pea tur","Mangrulpeer",2016,24.7492625368732,1678
"192","pigeon pea tur","Nagpur",2016,27.1898156944708,1671
"193","pigeon pea tur","Umarga",2016,21.4726291441789,1671
"194","pigeon pea tur","Varora",2016,23.4081346423562,1669
"195","pigeon pea tur","Manora",2015,20.5697373288938,1668
"196","pigeon pea tur","Ausa",2016,24.6342544702231,1667
"197","pigeon pea tur","Kalvan",2016,35.6974501821298,1666
"198","sesamum","Kej",2016,33.32,1666
"199","split black gram","Kolhapur-Laxmipuri",2016,10.7523409751372,1665
"200","sorgumjawar","Karmala",2015,107.161290322581,1661
"201","pigeon pea tur","Khamgaon",2016,22.4520216135644,1657
"202","sorgumjawar","Kada",2014,108.023483365949,1656
"203","pigeon pea tur","Savner",2015,25.7743190661479,1656
"204","sesamum","Pusad",2015,21.9205298013245,1655
"205","pigeon pea tur","Latur-Murud",2016,22.6438356164384,1653
"206","pigeon pea tur","Shirpur",2015,38.9203206034889,1651
"207","pigeon pea tur","Solapur",2015,23.332599603786,1647
"208","pigeon pea tur","Pusad",2015,20.779712339137,1647
"209","pigeon pea tur","Malegaon",2016,25.3705991352687,1643
"210","pigeon pea tur","Shahada",2015,23.5606604450826,1641
"211","sorgumjawar","Karmala",2016,97.9356405585914,1626
"212","sunflower","Ahmedpur",2014,57.0774647887324,1621
"213","pigeon pea tur","Latur",2016,22.1999666165916,1621
"214","sorgumjawar","Jalna",2015,138.087105038429,1617
"215","wheathusked","Ambad(Vadi Godri)",2016,106.278916060806,1608
"216","pigeon pea tur","Kille Dharur",2016,27.6039876246133,1606
"217","sesamum","Khamgaon",2015,20.8924157668791,1606
"218","pigeon pea tur","Samudrapur",2016,22.9285714285714,1605
"219","wheathusked","Ausa",2015,114.618181818182,1600
"220","pigeon pea tur","Bhandara",2015,22.8571428571429,1600
"221","pigeon pea tur","Babhulgaon",2016,21.1301233585356,1593
"222","wheathusked","Nandurbar",2015,129.8605414274,1583
"223","wheathusked","Pathari",2015,312.031558185404,1582
"224","sorgumjawar","Kurdwadi",2014,134.201077199282,1581
"225","bajri","Sangamner",2015,111.410347271439,1572
"226","pigeon pea tur","Ramtek",2016,27.5052557813595,1570
"227","pigeon pea tur","Arvi",2015,23.630343166767,1570
"228","sorgumjawar","Majalgaon",2014,152.878048780488,1567
"229","pigeon pea tur","Baramati",2015,24.7619047619048,1560
"230","pigeon pea tur","Kalamb (Os)",2016,22.3224852071006,1558
"231","pigeon pea tur","Dondaicha",2016,22.6987600291758,1556
"232","pigeon pea tur","Sonpeth",2016,20.6132200690204,1553
"233","cotton","Bhiwapur",2015,83.7837837837838,1550
"234","ricepaddyhus","Nira",2015,81.5789473684211,1550
"235","sorgumjawar","Jamkhed",2015,92.96875,1547
"236","pigeon pea tur","Lasalgaon",2015,37.9200392445426,1546
"237","pigeon pea tur","Indapur-Bhigwan",2016,24.6645367412141,1544
"238","grnut kernels","Kolhapur-Laxmipuri",2015,20.5882352941176,1533
"239","sorgumjawar","Solapur",2015,90.6508875739645,1532
"240","ricepaddyhus","Palghar(Bevur)",2016,70.3652334720296,1522
"241","sorgumjawar","Majalgaon",2015,144.170616113744,1521
"242","ricepaddyhus","Pune",2014,30.6389840757912,1520
